,Target,Dataset,Dimensionreduction,FeatureSelection,Model,Parameters,ValidationScore,Std,TestScore
0,toxic,CountVectorizer,SVD,Random Forest,Decision Tree,{'max_depth': 8},0.852436916081,0.00308186810307,0.786472460477
1,severe_toxic,CountVectorizer,SVD,Random Forest,Decision Tree,{'max_depth': 4},0.940971489801,0.00757961417273,0.897245070193
2,obscene,CountVectorizer,SVD,Random Forest,Decision Tree,{'max_depth': 5},0.923179013881,0.00386159424402,0.862949095438
3,threat,CountVectorizer,SVD,Random Forest,Decision Tree,{'max_depth': 3},0.803455645159,0.0498100530966,0.804686419091
4,insult,CountVectorizer,SVD,Random Forest,Decision Tree,{'max_depth': 6},0.886977391997,0.00421231576539,0.825917343897
5,identity_hate,CountVectorizer,SVD,Random Forest,Decision Tree,{'max_depth': 4},0.88924839278,0.00290579115513,0.8292587678
6,toxic,CountVectorizer,SVD,Random Forest,Naive Bayes,{'alpha': 500},0.820706338459,0.00214194052125,0.664995831193
7,severe_toxic,CountVectorizer,SVD,Random Forest,Naive Bayes,{'alpha': 1e-05},0.938216516068,0.00657428433077,0.796528462658
8,obscene,CountVectorizer,SVD,Random Forest,Naive Bayes,{'alpha': 5.0},0.898282972484,0.00212914654249,0.745827428417
9,threat,CountVectorizer,SVD,Random Forest,Naive Bayes,{'alpha': 10.0},0.876360575049,0.0125813119298,0.565683204639
10,insult,CountVectorizer,SVD,Random Forest,Naive Bayes,{'alpha': 1e-05},0.865805057036,0.00265913409541,0.696166799309
11,identity_hate,CountVectorizer,SVD,Random Forest,Naive Bayes,{'alpha': 1e-05},0.8850080273,0.00528637771883,0.618599550759
12,toxic,CountVectorizer,SVD,Random Forest,Logistic Regression,{'C': 5.0},0.870371926144,0.0021799902404,0.796726805307
13,severe_toxic,CountVectorizer,SVD,Random Forest,Logistic Regression,{'C': 1.0},0.948350624598,0.00242061461151,0.874891018978
14,obscene,CountVectorizer,SVD,Random Forest,Logistic Regression,{'C': 1.0},0.923454274599,0.00361946583296,0.848425945591
15,threat,CountVectorizer,SVD,Random Forest,Logistic Regression,{'C': 1.0},0.915655307308,0.0103598727232,0.857789379153
16,insult,CountVectorizer,SVD,Random Forest,Logistic Regression,{'C': 5.0},0.892613511056,0.00486206197956,0.80885869725
17,identity_hate,CountVectorizer,SVD,Random Forest,Logistic Regression,{'C': 5.0},0.913663277173,0.00900280007883,0.819156444084
