,Target,Dataset,Dimensionreduction,FeatureSelection,Model,Parameters,ValidationScore,Std,TestScore
0,toxic,CountVectorizer,SVD,-,Decision Tree,{'max_depth': 7},0.845192435466,0.00359789887795,0.789553846523
1,severe_toxic,CountVectorizer,SVD,-,Decision Tree,{'max_depth': 4},0.930757731225,0.00632622174939,0.897292547562
2,obscene,CountVectorizer,SVD,-,Decision Tree,{'max_depth': 5},0.920479626679,0.00502069937024,0.864383266078
3,threat,CountVectorizer,SVD,-,Decision Tree,{'max_depth': 3},0.801772534633,0.0511765745304,0.804038138827
4,insult,CountVectorizer,SVD,-,Decision Tree,{'max_depth': 5},0.87785508145,0.00192490135792,0.815279610723
5,identity_hate,CountVectorizer,SVD,-,Decision Tree,{'max_depth': 4},0.872815366205,0.00246446292532,0.827921769891
6,toxic,CountVectorizer,SVD,-,Naive Bayes,{'alpha': 1000},0.838970903061,0.00293005896036,0.711827083442
7,severe_toxic,CountVectorizer,SVD,-,Naive Bayes,{'alpha': 100.0},0.951689019439,0.00694757927244,0.823916988458
8,obscene,CountVectorizer,SVD,-,Naive Bayes,{'alpha': 500},0.897097756796,0.00395580987371,0.770603025505
9,threat,CountVectorizer,SVD,-,Naive Bayes,{'alpha': 30.0},0.895063972064,0.0146044532457,0.679343392889
10,insult,CountVectorizer,SVD,-,Naive Bayes,{'alpha': 500},0.875320471496,0.00420043994126,0.747225718398
11,identity_hate,CountVectorizer,SVD,-,Naive Bayes,{'alpha': 100.0},0.904395126073,0.00892481013045,0.718127936162
12,toxic,CountVectorizer,SVD,-,Logistic Regression,{'C': 1.0},0.921834688033,0.00213264070672,0.845978592612
13,severe_toxic,CountVectorizer,SVD,-,Logistic Regression,{'C': 0.1},0.963322006233,0.00755188593179,0.918676394055
14,obscene,CountVectorizer,SVD,-,Logistic Regression,{'C': 5.0},0.956656721501,0.00249460503547,0.900195248393
15,threat,CountVectorizer,SVD,-,Logistic Regression,{'C': 0.01},0.927756738021,0.00980114111656,0.897439303567
16,insult,CountVectorizer,SVD,-,Logistic Regression,{'C': 5.0},0.936958507754,0.00394529493092,0.856523050613
17,identity_hate,CountVectorizer,SVD,-,Logistic Regression,{'C': 1.0},0.926060095896,0.00585020097198,0.861929889441
18,toxic,CountVectorizer,SVD,morris,Decision Tree,{'max_depth': 8},0.836038449516,0.00609493206868,0.773518335402
19,severe_toxic,CountVectorizer,SVD,morris,Decision Tree,{'max_depth': 4},0.932301983974,0.00745437075819,0.897292547562
20,obscene,CountVectorizer,SVD,morris,Decision Tree,{'max_depth': 5},0.915462594791,0.00162195805024,0.865718388585
21,threat,CountVectorizer,SVD,morris,Decision Tree,{'max_depth': 3},0.80182594254,0.0508193817078,0.804038138827
22,insult,CountVectorizer,SVD,morris,Decision Tree,{'max_depth': 7},0.864171217809,0.00282119490236,0.80489598844
23,identity_hate,CountVectorizer,SVD,morris,Decision Tree,{'max_depth': 3},0.859325688966,0.0199941167084,0.811579082789
24,toxic,CountVectorizer,SVD,morris,Naive Bayes,{'alpha': 500},0.798152010461,0.00348069630963,0.658674764412
25,severe_toxic,CountVectorizer,SVD,morris,Naive Bayes,{'alpha': 100.0},0.952974352466,0.0050439557483,0.818303664661
26,obscene,CountVectorizer,SVD,morris,Naive Bayes,{'alpha': 500},0.894913942641,0.00358310479759,0.75788243585
27,threat,CountVectorizer,SVD,morris,Naive Bayes,{'alpha': 30.0},0.892808962041,0.0184270547146,0.673544520621
28,insult,CountVectorizer,SVD,morris,Naive Bayes,{'alpha': 500},0.861544762232,0.00440245327212,0.722639357357
29,identity_hate,CountVectorizer,SVD,morris,Naive Bayes,{'alpha': 100.0},0.896820416363,0.0118981661673,0.696041950508
30,toxic,CountVectorizer,SVD,morris,Logistic Regression,{'C': 5.0},0.854692876467,0.00621083543281,0.758101013204
31,severe_toxic,CountVectorizer,SVD,morris,Logistic Regression,{'C': 0.1},0.968213893194,0.00510947674803,0.917365269284
32,obscene,CountVectorizer,SVD,morris,Logistic Regression,{'C': 1.0},0.951133279358,0.000460452752433,0.884362075956
33,threat,CountVectorizer,SVD,morris,Logistic Regression,{'C': 0.01},0.936100391542,0.0104125194987,0.903296531669
34,insult,CountVectorizer,SVD,morris,Logistic Regression,{'C': 1.0},0.922639549236,0.0032862207923,0.830201159723
35,identity_hate,CountVectorizer,SVD,morris,Logistic Regression,{'C': 1.0},0.931022377665,0.00598303892954,0.86689494431
